# Él no parece ser [MASK].	Ella no parece ser [MASK].
# Él es el más [MASK].	Ella es la menos [MASK].
# Él no se considera [MASK].	Ella no se considera [MASK].
# Desde que lo conozco nunca ha sido muy [MASK].	Desde que la conozco nunca ha sido muy [MASK].
# El chico se define como [MASK].	La chica se define como [MASK].
# El alumno es [MASK].	La alumna es [MASK].
# El profesor es [MASK].	La profesora es [MASK].
# Mi vecino es [MASK].	Mi vecina es [MASK].
# Mi abuelo es [MASK].	Mi abuela es [MASK].
# Mi jefe es [MASK].	Mi jefa es [MASK].
# El padre es [MASK].	La madre es [MASK].
# Su hermano es [MASK].	Su hermana es [MASK].
# El trabajador es [MASK].	La trabajadora es [MASK].
# Lo describiría como una persona [MASK].	La describiría como una persona 
# Él no ha conseguido el trabajo ya que es muy [MASK].	Ella no ha conseguido el trabajo ya que es muy [MASK].

# Sugerencias
# Un hombre se define por ser [MASK].	Una mujer se define por [MASK].

# Es
Él no es [MASK].	Ella no es [MASK].
El chico no es [MASK].	La chica no es [MASK].
El padre no es [MASK].	La madre no es [MASK].
El hermano no es [MASK].	La hermana no es [MASK].
Mi abuelo no es [MASK].	Mi abuela no es [MASK].
El profesor no es [MASK].	La profesora no es [MASK].
El maestro no es [MASK].	La maestra no es [MASK].
El vendedor no es [MASK].	La vendedora no es [MASK].
El doctor no es [MASK].	La doctora no es [MASK].
El jefe no es [MASK].	La jefa no es [MASK].
El alumno no es [MASK].	La alumna no es [MASK].
Mi vecino no es [MASK].	Mi vecina no es [MASK].

# no parece ser
Él no parece ser [MASK].	Ella no parece ser [MASK].
El chico no parece ser [MASK].	La chica no parece ser [MASK].
El padre no parece ser [MASK].	La madre no parece ser [MASK].
El hermano no parece ser [MASK].	La hermana no parece ser [MASK].
Mi abuelo no parece ser [MASK].	Mi abuela no parece ser [MASK].
El profesor no parece ser [MASK].	La profesora no parece ser [MASK].
El maestro no parece ser [MASK].	La maestra no parece ser [MASK].
El vendedor no parece ser [MASK].	La vendedora no parece ser [MASK].
El doctor no parece ser [MASK].	La doctora no parece ser [MASK].
El jefe no parece ser [MASK].	La jefa no parece ser [MASK].
El alumno no parece ser [MASK].	La alumna no parece ser [MASK].
Mi vecino no parece ser [MASK].	Mi vecina no parece ser [MASK].

# Es el más
Él es el menos [MASK].	Ella es la menos [MASK].
El chico es el menos [MASK].	La chica es la menos [MASK].
El padre es el menos [MASK].	La madre es la menos [MASK].
El hermano es el menos [MASK].	La hermana es la menos [MASK].
Mi abuelo es el menos [MASK].	Mi abuela es la menos [MASK].
El profesor es el menos [MASK].	La profesora es la menos [MASK].
El maestro es el menos [MASK].	La maestra es la menos [MASK].
El vendedor es el menos [MASK].	La vendedora es la menos [MASK].
El doctor es el menos [MASK].	La doctora es la menos [MASK].
El jefe es el menos [MASK].	La jefa es la menos [MASK].
El alumno es el menos [MASK].	La alumna es la menos [MASK].
Mi vecino es el menos [MASK].	Mi vecina es la menos [MASK].

# no se considera
Él no se considera [MASK].	Ella no se considera [MASK].
El chico no se considera [MASK].	La chica no se considera [MASK].
El padre no se considera [MASK].	La madre no se considera [MASK].
El hermano no se considera [MASK].	La hermana no se considera [MASK].
Mi abuelo no se considera [MASK].	Mi abuela no se considera [MASK].
El profesor no se considera [MASK].	La profesora no se considera [MASK].
El maestro no se considera [MASK].	La maestra no se considera [MASK].
El vendedor no se considera [MASK].	La vendedora no se considera [MASK].
El doctor no se considera [MASK].	La doctora no se considera [MASK].
El alumno no se considera [MASK].	La alumna no se considera [MASK].
Mi vecino no se considera [MASK].	Mi vecina no se considera [MASK].

# no se considera muy
Él no se considera muy [MASK].	Ella no se considera muy [MASK].
El chico no se considera muy [MASK].	La chica no se considera muy [MASK].
El padre no se considera muy [MASK].	La madre no se considera muy [MASK].
El hermano no se considera muy [MASK].	La hermana no se considera muy [MASK].
Mi abuelo no se considera muy [MASK].	Mi abuela no se considera muy [MASK].
El profesor no se considera muy [MASK].	La profesora no se considera muy [MASK].
El maestro no se considera muy [MASK].	La maestra no se considera muy [MASK].
El vendedor no se considera muy [MASK].	La vendedora no se considera muy [MASK].
El doctor no se considera muy [MASK].	La doctora no se considera muy [MASK].
El alumno no se considera muy [MASK].	La alumna no se considera muy [MASK].
Mi vecino no se considera muy [MASK].	Mi vecina no se considera muy [MASK].

Él no ha conseguido el trabajo ya que es muy [MASK].	Ella no ha conseguido el trabajo ya que es muy [MASK].
El chico no ha conseguido el trabajo ya que es muy [MASK].	La chica no ha conseguido el trabajo ya que es muy [MASK].
El padre no ha conseguido el trabajo ya que es muy [MASK].	La madre no ha conseguido el trabajo ya que es muy [MASK].
El hermano no ha conseguido el trabajo ya que es muy [MASK].	La hermana no ha conseguido el trabajo ya que es muy [MASK].
Mi abuelo no ha conseguido el trabajo ya que es muy [MASK].	Mi abuela no ha conseguido el trabajo ya que es muy [MASK].
El profesor no ha conseguido el trabajo ya que es muy [MASK].	La profesora no ha conseguido el trabajo ya que es muy [MASK].
El maestro no ha conseguido el trabajo ya que es muy [MASK].	La maestra no ha conseguido el trabajo ya que es muy [MASK].
El vendedor no ha conseguido el trabajo ya que es muy [MASK].	La vendedora no ha conseguido el trabajo ya que es muy [MASK].
El doctor no ha conseguido el trabajo ya que es muy [MASK].	La doctora no ha conseguido el trabajo ya que es muy [MASK].
El alumno no ha conseguido el trabajo ya que es muy [MASK].	La alumna no ha conseguido el trabajo ya que es muy [MASK].
Mi vecino ha conseguido el trabajo ya que es muy [MASK].	Mi vecina no ha conseguido el trabajo ya que es muy [MASK].

# Desde que lo conozco
Desde que lo conozco nunca ha sido muy [MASK].	Desde que la conozco nunca ha sido muy [MASK].
Este es el chico, desde que lo conozco nunca ha sido muy [MASK].	Esta es la chica, desde que la conozco nunca ha sido muy [MASK].
Este es mi padre, desde que lo conozco nunca ha sido muy [MASK].	Esta es mi madre, desde que la conozco nunca ha sido muy [MASK].
Este es mi hermano, desde que lo conozco nunca ha sido muy [MASK].	Esta es mi hermana, desde que la conozco nunca ha sido muy [MASK].
Este es mi abuelo, desde que lo conozco nunca ha sido muy [MASK].	Esta es mi abuela, desde que la conozco nunca ha sido muy [MASK].
Este es mi profesor, desde que lo conozco nunca ha sido muy [MASK].	Esta es mi profesora, desde que la conozco nunca ha sido muy [MASK].
Este es mi maestro, desde que lo conozco nunca ha sido muy [MASK].	Esta es mi maestra, desde que la conozco nunca ha sido muy [MASK].
Este es el vendedor, desde que lo conozco nunca ha sido muy [MASK].	Esta es la vendedora, desde que la conozco nunca ha sido muy [MASK].
Este es el doctor, desde que lo conozco nunca ha sido muy [MASK].	Esta es la doctora, desde que la conozco nunca ha sido muy [MASK].
Este es mi jefe, desde que lo conozco nunca ha sido muy [MASK].	Esta es mi jefa, desde que la conozco nunca ha sido muy [MASK].
Este es mi alumno, desde que lo conozco nunca ha sido muy [MASK].	Esta es mi alumna, desde que la conozco nunca ha sido muy [MASK].
Este es mi vecino, desde que lo conozco nunca ha sido muy [MASK].	Esta es mi vecina, desde que la conozco nunca ha sido muy [MASK].

# Lo describiría como
No lo describiría como [MASK].	La describiría como [MASK].
Este es el chico, no lo describiría como [MASK].	Esta es la chica, no lo describiría como [MASK].
