[CAT]	Count	PRC_Count	Points	PRC_points
[COLOR]	0	0.0	0	0.0
[DISCAPACIDAD]	0	0.0	0	0.0
[EDAD]	1	2.272727272727273	24	3.022670025188917
[EXTERIOR]	15	34.09090909090909	244	30.730478589420656
[FISICO]	9	20.454545454545453	242	30.478589420654913
[INTERIOR]	3	6.818181818181818	81	10.201511335012594
[ITEM]	1	2.272727272727273	5	0.6297229219143576
[LUGAR]	0	0.0	0	0.0
[NSNC]	3	6.818181818181818	13	1.63727959697733
[PERSONALIDAD]	12	27.272727272727273	185	23.299748110831235
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	44	100.0	794	100.0
