[CAT]	Count	PRC_Count	Points	PRC_points
[???]	3	3.9473684210526314	44	3.10515172900494
[COLOR]	0	0.0	0	0.0
[DISCAPACIDAD]	0	0.0	0	0.0
[EDAD]	1	1.3157894736842106	11	0.776287932251235
[EXTERIOR]	39	51.31578947368421	746	52.646436132674665
[FISICO]	4	5.2631578947368425	133	9.386026817219477
[INTERIOR]	3	3.9473684210526314	92	6.492589978828511
[ITEM]	2	2.6315789473684212	18	1.2702893436838392
[LUGAR]	0	0.0	0	0.0
[NSNC]	5	6.578947368421052	29	2.046577275935074
[PERSONALIDAD]	17	22.36842105263158	326	23.00635144671842
[RELIGION]	1	1.3157894736842106	18	1.2702893436838392
[_TOTAL]	76	100.0	1417	100.0
